LANG	TYPE	WHO	VERSION	BIRTH PLACE	WEAPONS	FLOWERS	INSTRUMENTS	INSECTS	PLEASANT	UNPLEASANT
de_DE25	original	anonymous	1.0	Kassel, Germany	Gewehr, Dolch, Messer, Speer, Morgenstern, Schwert, Pistole, Maschinengewehr, Schrotflinte, Klappmesser, Axt, Armbrust, Pfeil und Bogen, Katapult, Kanone, Degen, Säbel, Lanze, Revolver, Beil, Hellebarde, Maschinenpistole, Schleuder, Schlagring, Schlagstock	Veilchen, Vergissmeinnicht, Stiefmütterchen, Tulpe, Rose, Nelke, Lilie, Ranunkel, Ringelblume, Edelweiß, Gänseblümchen, Schlüsselblume, Krokus, Maiglöckchen, Osterglocke, Schneeglöckchen, Herbstzeitlose, Heidekraut, Klatschmohn, Kornblume, Sonnenblume, Begonie, Gladiole, Löwenmäulchen, Glockenblume	Klavier, Gitarre, Blockflöte, Querflöte, Klarinette, Oboe, Geige, Cello, Kontrabass, Akkordeon, Cembalo, Orgel, Trommel, Horn, Trompete, Saxofon, Keyboard, Xylophon, Mandoline, Laute, Harfe, Jagdhorn, Pauke, Triangel, Rassel	Spinne, Heuschrecke, Grashüpfer, Ameise, Biene, Wespe, Hummel, Tausendfüßler, Kellerassel, Marienkäfer, Hornisse, Raupe, Weberknecht, Schnake, Mücke, Bremse, Fliege, Fruchtfliege, Regenwurm, Wanze, Motte, Libelle, Grille, Floh, Silberfischchen	warm, hell, Duft, Sonne, Kuchen, Urlaub, Blume, Natur, froh, glücklich, Garten, Liebe, Freunde, Spiel, lustig, Glück, Freundschaft, erfüllt, zufrieden, offen, freundlich, Lachen, Freizeit, weich, frei	kalt, feucht, Schimmel, Streit, Wut, Trauer, unfreundlich, abweisend, Gewalt, Schmerz, Ekel, Krankheit, unzufrieden, ärgerlich, Zwang, Konflikt, Krieg, hart, abstoßend, unruhig, verwirrt, Unsicherheit, Lüge, gemein, überfordert
de_DE26	original	anonymous	3.0	Bexbach, Germany	Messer, Machete, Butterfly, Axt, Pistole, Sturmgewehr, Schrotflinte, Raketenwerfer, Maschinenpistole, Säbel, Knarre, Klappmesser, Säge, Scharfschützengewehr, Bogen, Pfeil, Granate, Wurfmesser, Jagdgewehr, Rakete, Schlagring, Blendgranate, Rauchgranate, Einsatzschild, Baseballschläger	Rose, Tulpe, Narzisse, Sonnenblume, Alpenveilchen, Maiglöckchen, Veilchen, Gerbera, Gladiole, Mohn, Krokus, Osterglocke, Schneeglöckchen, Lillie, Nelke, Stiefmütterchen, Wicke, Chrysantheme, Dahlie, Fuchsie, Ringelblume, Azalee, Begonie, Orchidee, Gänseblümchen	Gitarre, Klavier, Orgel, Triangel, Geige, Violine, Keyboard, Trompete, Querflöte, Flöte, Horn, Posaune, Cello, Flügel, Akkordeon, Trommel, Becken, Harfe, Banjo, E-Gitarre, Bratsche, Dudelsack, Schlagzeug, Kontrabass, Laute	Schmetterling, Biene, Wespe, Mücke, Hummel, Ameisen, Fliegen, Zecken, Heuschrecken, Maikäfer, Käfer, Libellen, Staubläuse, Wanzen, Schmeißfliege, Bremse, Schnake, Stinkwanze, Grille, Gottesanbeter, Zikade, Laus, Silberfischen, Waldschabe, Spinne	Musik, Tee, Kaffee, Spaziergänge, Kinder lachen, Sport, Bouldern, Freunde treffen, Wasser, Internet, Döner, Pizza, Süßigkeiten, Natur, Wald, Blumen, Kleidung, helfen, Bücher, Filme, Serien, Leben, Frische Luft, Konzerte, Gerüche	Gestank, Autolärm, Stau, verspätete Züge, Nervensägen, Ladezeiten, Internetausfälle, Krieg, Verbrechen, Politik, Unverständniss, Menschenmengen, Blut, Knochenbrüche, Verletzungen, Unfälle, Raser, Arroganz, Ignoranz, Narzissmus, Wut, Gewalt, Kampf, Steuern, Kaffeemaschinenwartung
de_DE27	original	anonymous	3.0	Wiesbaden, Germany	Axt, Messer, Pistole, Knüppel, Stock, Beil, Dolch, Kettensäge, Mistgabel, Pfefferspray, Schwert, Degen, Morgenstern, Machete, Gewehr, Revolver, Schleuder, Speer, Bogen, Pfeil, Klappmesser, Schlagring, Schreckschusspistole, Wurfmesser, Schlagstock	Stiefmütterchen, Tulpe, Rose, Löwenzahn, Maiglöckchen, Weihnachtsstern, Sonnenblumen, Gänseblümchen, Mohn, Amaryllis, Nelke, Chrysantheme, Lilie, Lotus, Margerite, Narzisse, Flieder, Hyazinthe, Hortensie, Distel, Geranie, Krokus, Enzian, Glockenblume, Jasmin	Klavier, Trompete, Klarinette, Violine, Cello, Kontrabass, Flöte, Blockflöte, Querflöte, Posaune, Tuba, Orgel, Gitarre, Schlagzeug, Bass, Keyboard, Triangel, Mundtrommel, Trommel, Pauke, Harfe, Flügel, Saxophon, Horn, Akkordeon	Mücke, Fliege, Ameise, Biene, Wespe, Libelle, Marienkäfer, Wasserläufer, Schmetterling, Heuschrecke, Grashüpfer, Gottesanbeterin, Maikäfer, Mistkäfer, Hirschkäfer, Motte, Hummel, Blattlaus, Wanze, Kakerlake, Schwebfliege, Zikade, Floh, Raupe, Schabe	Fürsorge, Zärtlichkeit, Zuneigung, Freundschaft, einfühlsam, Gemeinsamkeit, Verständniss, Wärme, Zufriedenheit, Zusammenhalt, Unterstützung, liebevoll, Freundlichkeit, Katzen, Genuß, Vertrauen, Entspannung, Harmonie, Herzlichkeit, ehrlich, Unbeschwertheit, Ruhe, zuverlässig, glücklich, heiter	Unverständniss, Missbrauch, Hass, Stress, Missgunst, Neid, Misstrauen, kalt, unzufrieden, hinterhältig, unerwünscht, unglücklich, Trauer, Verlust, unfreundlich, Missverständnis, Lüge, Trauma, grob, böse, rücksichtslos, gemein, unentspannt, unehrlich, unzuverlässig
de_DE28	original	anonymous	3.0	Altbach, Germany	Schwert, Messer, Pistole, Gewehr, Maschinengewehr, Maschinenpistole, Speer, Pfeil, Armbrust, Morgenstern, Schlagring, Machete, Axt, Kettensäge, Beil, Hammer, Panzer, Kanone, Lanze, Bazooka, Flammenwerfer, Bombe, Torpedo, Gift, Liebe	Tulpe, Rose, Löwenzahn, Gänseblümchen, Vergissmeinnicht, Veilchen, Kornblume, Mohn, Narzisse, Maiglöckchen, Enzian, Alpen-Edelweiß, Klee, Margerite, Pfingstrose, Butterblume, Traubenhyazinthe, Hahnenfuß, Löwenmäulchen, Fingerhut, Lotusblume, Orchideen, Glockenblume, Krokus, Sonnenblume	Kontrabass, Gitarre, Klavier, Cello, Violine, Viola, Saxophon, Posaune, Tuba, Trompete, Harfe, Fagott, Oboe, Klarinette, Glockenspiel, Xylophon, Schlagzeug, Trommel, Pauke, Euphonium, Keyboard, Blockflöte, Querflöte, Panflöte, Cembalo	Ameise, Fliege, Mücke, Grashüpfer, Grille, Motte, Hummel, Biene, Wespe, Borkenkäfer, Maikäfer, Junikäfer, Marienkäfer, Mistkäfer, Hirschkäfer, Kellerassel, Tagpfauenauge, Zitronenfalter, Nachtfalter, Raupe, Libelle, Hornisse, Holzbiene, Fruchtfliege, Kartoffelkäfer	Liebe, Seide, Bier, Essen, Schlafen, Beachtennis, Baden, Urlaub, Strand, Sauna, Wandern, Sonne, Schnee, Fahrradfahren, Kochen, Sitzen, Stehen, Liegen, Musik, Kuscheln, Lesen, Einkaufen, Quatschen, Gesellschaft, Wochenende	Jucken, Kratzen, Krankheit, Rassismus, Sexismus, Krieg, Qual, Folter, Hunger, Durst, kaputt, Zusammenbruch, Depression, Dummheit, Aggression, Verbrennung, Schmerz, hart, giftig, Schimmel, Ekel, Raub, pleite, Rodung, Ausrottung
el1	original	anonymous	1.0	Thessaloniki, Greece	Μαχαίρι, μπαλτάς, πιστόλι, τσεκούρι, καραμπίνα, δίκαννο, αεροβόλο, στιλέτο, λόγχη, σπαθί, ξίφος, καταπέλτης, κανόνι, σουγιάς, πυροβόλο, πολυβόλο, βόμβα, χειροβομβίδα, ρουκέτα, δρεπάνι, ρόπαλο, τόξο, βαλλίστρα, μπαζούκα, τέιζερ	Μαργαρίτα, παπαρούνα, τριαντάφυλλο, γαρδένια, γαρύφαλλο, πετούνια, ιβίσκος, ορτανσία, βιγόνια, γιασεμί, υάκινθος, γεράνι, ντάλια, κρίνος, νυχτολούλουδο, αγιόκλημα, πανσές, σκυλάκι, βιολέτα, νάρκισσος, νούφαρο, ακακία, αμαρυλλίς, ανεμώνη, καμπανούλα	Πιάνο, κιθάρα, βιόλα, βιολοντσέλο, βιολί, μπάσο, ντραμ, τύμπανο, σαξόφωνο, φλάουτο, φλογέρα, λαγούτο, λύρα, ντέφι, άρπα, κλακέτες, ξυλόφωνο, τρομπέτα, τούμπα, αρμόνιο, μπουζούκι, μπαγλαμάς, μαντολίνο, κόρνα, κλαρίνο	Μύγα, κουνούπι, μέλισσα, σφήκα, κατσαρίδα, ακρίδα, αλογάκι της Παναγίας, τζίτζικας, γρύλος, σκορπιός, αράχνη, σαρανταποδαρούσα,    πασχαλίτσα, σκαθάρι, σκαραβαίος, πυγολαμπίδα, μυρμήγκι, πεταλούδα, λιβελούλα, κάμπια, βρομούσα, νυχτοπεταλούδα, κοριός, ψύλλος, ψαλίδα	Χαρά, ευτυχία, φιλοξενία, φιλότιμο, εκτίμηση, ηρεμία, αρμονία, αγαλλίαση, αγάπη, υγεία, φιλία, εμπιστοσύνη, έρωτας, φροντίδα, στοργή, σεβασμός, αναγνώριση, άμιλλα, ευγένεια, υποστήριξη, αλληλεγγύη, συμπαράσταση, συμπάθεια, προστασία, ζεστασιά	Μίσος, πόλεμος, αντιπάθεια, εχθρότητα, ανταγωνισμός, ζήλια, φθόνος, πόνος, λύπη, χαιρεκακία, οργή, εκδίκηση, σύγκρουση, μοναξιά, ρατσισμός, ψέμα, υποτίμηση, οκνηρία, εγωισμός, απληστία, κακία, ύπουλος, προδοσία, απιστία, ανευθυνότητα
el2	original	anonymous	1.0	Pireus, Greece	Πιστόλι, δόρυ, μαχαίρι, τόξο, κανόνι, βόμβα, χειροβομβίδα, τορπίλη, σφαίρα, σουγιάς, οβίδα, πύραυλος, πυροβόλο, σπαθί, βαλλίστρα, τσεκούρι, τρίαινα, πέλεκυς, φλογοβόλο, σφεντόνα, στιλέτο, πυρίτιδα, βέλος, ρόπαλο, λοστός	Τριαντάφυλλο, μαργαρίτα, χρυσάνθεμο, ανεμώνη, κυκλάμινο, σκυλάκια, παπαρούνα, γαρδένια, γιασεμί, αγιόκλημα, γεράνι, βουκαμβίλια, γαρύφαλλο, κρίνος, ηλίανθος, λαντάνα, πικροδάφνη, φούλι, κατιφές, φρέζια, βιγόνια, πετούνια, ασφόδελος, καμπανούλα, πανσές	Μπουζούκι, μπαγλαμάς, ζουρνάς, λύρα, πιάνο, βιολί, κιθάρα, ακορντεόν, φλάουτο, κλαρίνο, ντέφι, μαντολίνο, κανονάκι, λαούτο, τουμπελέκι, νταούλι, άρπα, σάλπιγγα, φλογέρα, τσέλο, βιόλα, φυσαρμόνικα, σαξόφωνο, ούτι, πιατίνια	Μύγα, κουνούπι, πυγολαμπίδα, κατσαρίδα, μυρμήγκι, τερμίτης, πασχαλίτσα, σκαθάρι, μέλισσα, σφήκα, λιβελούλα, τζιτζίκι, ακρίδα, γρύλος, βρωμούσα, ψείρα, κοριός, αλογάκι της Παναγίας, πεταλούδα, μελίγκρα, αράχνη, σαράκι, σκνίπα, τσιμπούρι, ψύλλος	Κέφι, θάλασσα, ήλιος, παραλία, μεζεδάκια, οικογένεια, φιλία, αλμύρα, κύμα, αγάπη, καλοσύνη, φιλότιμο, γενναιοδωρία, βοήθεια, συμπόνια, αλληλεγγύη, αγκαλιά, χάδι, φιλοξενία, φιλί, θαλπωρή, μουσική, χορός, μαγειρική, ξεγνοιασιά	Έπαρση, κακία, μίσος, φανατισμός, θρησκεία, στενόμυαλος, ρατσισμός, ξενοφοβία, μισογυνισμός, γυναικοκτονία, κακοποίηση, κατάθλιψη, βιασμός, βία, κουτοπονηριά, οπαδιλίκι, ελιτισμός, σεξισμός, αγένεια, πόλεμος, αντιεπαγγελματικός, εξάρτηση, πόνος, θρήνος, αδικία
el3	original	anonymous	1.0	Thessaloniki, Greece	μαχαίρι, σουγιάς, πιστόλι, φαλτσέτα, περίστροφο, καραμπίνα, μολότοφ, αλυσίδα, βόμβα, χειροβομβίδα, αντιαρματικό, οπλοπολυβόλο, πολυβόλο, κανόνι, σφαίρα, αντιαεροπορικό, οβίδα, χατζάρι, σπαθί, τανκ, γκλομπ, παλούκι, νυστέρι, σπιρούνι, δυναμίτης	παπαρούνα, μαργαρίτα, πετούνια, κατιφές, χρυσάνθεμο, ηλιοτρόπιο, τριαντάφυλλο, γαρύφαλλο, κολοκυθανθός, χαμομήλι, βιολέτα, αμυγδαλιά, πορτοκαλιά, λεμονιά, λεβάντα, μενεξές, κυκλάμινο, γαρδένια, αγριολούλουδο, νυχτολούλουδο, σκυλάκι, ορχιδέα, βουκαμβίλια, μπιγκόνια, αζαλέα	μπουζούκι, κιθάρα, μπαγλαμάς, πιάνο, βιολί, βιόλα, τσέλο, κοντραμπάσο, φλάουτο, κλαρίνο, γκάιντα, πίπιζα, τύμπανο, τουμπερλέκι, ντέφι, αρμόνιο, φλογέρα, φυσαρμόνικα, ακορντεόν, ντραμς, τρομπόνι, τρίγωνο, λαούτο, λύρα, σαντούρι	μύγα, κουνούπι, ακρίδα, μυρμήγκι, μέλισσα, αράχνη, σκνίπα, σκαθάρι, κατσαρίδα, σκούρκος, σφήκα, σκόρος, δάκος, τριζόνι, τζιτζίκι, βρωμούσα, λιβελούλα, σκορπιός, μπάμπουρας, πασχαλίτσα, αλογάκι, κυφήνας, ψείρα, κοριός, τσιμπούρι	γλυκό, νόστιμο, αγάπη, ζεστασιά, θαλπωρή, φροντίδα, ομορφιά, φιλία, έρωτας, παρέα, διασκέδαση, χαρά, ευτυχία, ζωντάνια, καλοκαίρι, θάλασσα, λουλούδι, παιχνίδι, παγωτό, υγεία, ήλιος, ψυχαγωγία, μουσική, ζωή, ειρήνη	πόλεμος, θάνατος, θλίψη, πένθος, πίκρα, ζόφος, τσακωμός, διαφωνία, διαμάχη, μίσος, έχθρα, χωρισμός, αποχωρισμός, ορφάνια, φτώχια, ασθένεια, κακοκαιρία, θεομηνία, καρκίνος, γεράματα, ατύχημα, δυστύχημα, στρίμωγμα, ασφυξία, δυσκολία
el4	original	anonymous	3.0	Patras, Greece	μαχαίρι, χατζάρα, ξίφος, σουγιάς, πιστόλι, βόμβα, περίστροφo, δόρυ, ασπίδα, τσεκούρι, ρόπαλο, τόξο, λόγχη, πύραυλος, αυτόματο όπλο, αντιαρματικό, φλογοβόλο, καταπέλτης, πέλεκυς, καραμπίνα, φαλτσέτα, γιαταγάνι, γκλοπ, σιδερογροθιά, μαστίγιο	τριαντάφυλλο, μαργαρίτα, χαμομήλι, ορχιδέα, κρίνο, κυκλάμινο, γιασεμί, βιολέτα, παπαρούνα, γαρδένια, μπεγόνια, λεβάντα, ηλιοτρόπιο, τουλίπα, νάρκισσος, ζουμπούλι, πετούνια, πανσές, χρυσάνθεμο, πασχαλιά, κρόκος, γαϊδουράγκαθο, αγήρατο, αμάραντος, γαρύφαλλο	μπουζούκι, κιθάρα, μπάσο, πιάνο, ντραμς, μαντολίνο, μαντόλα, βιολί, βιόλα, τσέλο, κοντραμπάσο, μπαγλαμάς, τζουράς, κανονάκι, άρπα, τρομπέτα, σαξόφωνο, ακορντεόν, σαντούρι, φυσαρμόνικα, ούτι, νταούλι, φλογέρα, ντέφι, κλαρίνο	μυρμήγκι, πασχαλίτσα, πεταλούδα, ακρίδα, σκαθάρι, αράχνη, μύγα, τσιμπούρι, ψύλλος, μελίγκρα, κατσαρίδα, σαραντοποδαρούσα, κάμπια, σκουλήκι, σφήκα, κοριός, μέλισσα, αλογόμυγα, σκόρος, γρύλος, δάκος, αλογάκι της Παναγίας, χρύσωπας, βρομούσα, κουνούπι	ευτυχία, αγάπη, ελπίδα, ελευθερία, χαμόγελο, φιλία, ζεστασιά, ηρεμία, αισιοδοξία, ενέργεια, ενθουσιασμός, ενδιαφέρον, αγαπημένο, αγκαλιά, δημιουργικότητα, παιχνίδι, διασκέδαση, καλοκαίρι, χαλάρωση, μαγεία, αρμονία, μουσική, χρώματα, φαγητό, ταινία	αγωνία, άγχος, αδικία, ανασφάλεια, βαρεμάρα, βία, βρωμιά, γκρίνια, εγωισμός, έλλειψη, θυμός, κακία, καταπίεση, κόντρα, μίσος, πόνος, παραίτηση, πείνα, πίκρα, στρες, φόβος, κούραση, εκμετάλλευση, σκληρότητα, αγένεια
en_AU1	original	anonymous	3.0	Melbourne, Australia	sword, knife, club, bat, pistol, shotgun, bomb, stone, bow and arrow, cannon, rifle, nuclear bomb, dagger, needle, fire, crossbow, lance, pepper spray, rocket, slingshot, spear, tear gas, tranquiliser, grenade, flamethrower	rose, daisy, daffodil, tulip, sunflower, lily, poppy, pansy, hibiscus, elderflower, snapdragon, forget-me-not, lavender, peony, dandelion, orchid, carnation, chrysanthemum, iris, hydrangea, bird of paradise, lotus, cherry blossom, lilac, buttercup	clarinet, piano, violin, viola, cello, double bass, guitar, trumpet, french horn, oboe, trombone, harpsichord, bass clarinet, saxophone, flute, harp, keyboard, snare drum, triangle, bass guitar, piccolo, English horn, cymbals, ukelele, bongo	spider, ant, fly, mosquito, bee, ladybug, cockcroach, butterfly, caterpillar, millipede, centipede, stick insect, moth, beetle, locus, grasshopper, bull ant, huntsman spider, daddy-long-legs, termite, cicada, wasp, red-back spider, fire ant, earthworm	fun, excitement, love, hobby, passion, motivation, inspiration, warmth, refreshing, comfort, sleep, cozy, comfy, drive, happiness, friendship, companionship, adventures, sunshine, flowers, cuddling, food, travel, laughter, smile	stress, nausea, sick, gross, disgusting, uncomfortable, inadequate, disappointment, flawed, mistake, claustrophobic, humid, frown, tears, crying, fear, terror, anger, freezing, sweaty, sore, headache, powerlessness, trauma, pain
en_UK1	original	anonymous	3.0	London, UK	pistol, rifle, scythe, machete, club, dagger, sword, musket, mace, machine gun, flip knife, bludgeon, axe, bow and arrow, dart, cannon, grenade, bomb, mine, spear, switchblade,kitchen knife, rapier, sniper gun, tank	rose, daisy, petunia, tulip, lily, dandelion, cherry blossom, jasmin, clematis, pansy, honeysuckle, foxglove, orchid, passion flower, geranium, sunflower, germini, bluebell, snowdrop, lavender, daffodil, crocus, forget-me-not, poppy, dahlia	saxophone, piano, trumpet, trombone, flute, harp, percussion, oboe, bassoon, clarinet, French horn, euphonium, tuba, English horn, bugle, cello, violin, viola, double bass, piccolo, Irish whistle, bagpipe, accordeon, harmonica, xylophone	caterpillar, millipede, beetle, ladybird, butterfly, bee, wasp, daddy-long-legs, blue bottle, dragonfly, hornet, earwig, ant, cockroach, stag beetle, gendarme, mosquito, midge, firefly, mayfly, bedbug, grasshopper, cricket, silverfish, weevil	sweets, fruit, chocolate, flowers, vanilla, colours, rainbow, streams, meadows, friendship, confidence, beauty, poetry, cleanliness, freshness, warmth, comfort, music, dance, harmony, sweetness, satisfication, love, calmness,joy	cold, dim, arrogance, stupidity, lost, hunger, dirtiness, itchy, sourness, mould, damp, spitefulness, late, irrespect, ignorance, sniffing, pain, infection, halitosis, rancid, sweaty, dizzy, anxiety, stress, exhaustion
en_UK2	original	anonymous	3.0	Worcester, England	gun, knife, rifle, bow and arrow, sword, bayonet, dagger, machine gun, axe, shotgun, crossbow, cannon, cannonball, revolver, razor blade, bomb, tank, grenade, submarine, slingshot, pistol, stone, chain, baseball bat, hammer	daisy, daffodil, buttercup, rose, lily, hyacinth, petunia, pansy, tulip, poppy, marigold, orchid, hibiscus, violet, dandelion, magnolia, cherry blossom, carnation, sunflower, bluebell, forget-me-not, lilac, snowdrop, foxglove, jasmin	piano, violin, guitar, trumpet, french horn, saxophone, cornet, drum, bass guitar, clarinet, flute, cello, viola, tuba, trombone, accordion, whistle, recorder, ukulele, maracas, triangle, keyboard, bagpipe, tambourine, harmonica	ant, moth, spider, ladybird, daddy-long-legs, fly, fruit fly, wasp, bee, butterfly, centipede, woodlouse, cockroach, millipede, hornet, cricket, grasshopper, bedbug, cicada, caterpillar, stick insect, beetle, termite, dragonfly, earwig	happiness, sun, relaxation, peace, joy, warmth, spring, summer, beach, holiday, family, nature, love, friendship, dance, party, sleep, smile, laughter, hug, mediation, music, food, rest, calm	sickness, bad taste, grief, sadness, tears, cry, loss, loneliness, depression, anxiety, fear, worry, regret, anger, argument, conflict, break up, panic, lost, negative, injury, pain, mould, stench, hate
en_US1	original	anonymous	1.0	Santa Fe, New Mexico, USA	gun, hammer, bow and arrow, slingshot, knife, pistol, axe, saw, rifle, shotgun, machine gun, bomb, grenade, pepper spray, anthrax, bayonet, dagger, club, nerve gas, shrapnel, improvised explosive device, missile, tomahawk, bazooka, catapult	daisy, sunflower, marigold, crocus, poppy, lotus, gardenia, peony, rose, lily, daffodil, dandelion, tulip, iris, carnation, orchid, pansy, mimosa, violet, buttercup, hyacinth, dahlia, hibiscus, honeysuckle, jasmine	guitar, flute, trombone, trumpet, violin, viola, cello, bass, banjo, yukelele, piano, keyboard, oboe, clarinet, drum, bassinet, bongo, accordion, bagpipes, harmonica, gong, tuba, xylophone, marimba, saxophone	bumblebee, honey bee, wasp, ladybug, mosquito, ant, fire ant, centipede, grasshopper, dragonfly, locus, cicada, termite, tick, praying mantis, cockroach, beetle, caterpillar, cricket, flea, fly, lice, earwig, horntail, firefly	sunshine, mountains, air, stars, milk, chocolate, lovely, cozy, warmth, snow, hug, friend, family, love, beauty, sleep, pillow, laughter, calm, rest, comfort, connection, touch, snuggle, book	dark, gross, bitter, uncomfortable, shock, trauma, foul, scary, unknown, cold, alone, uncertain, nervous, anxious, stress, unsafe, mean, rude, bully, loud, abrasive, hurtful, angry, manipulative, arrogant
en_US2	original	anonymous	1.0	Sandwich, USA	gun, sword, knife, pistol, rifle, whip, taser, flail, club, baton, switchblade, cutlass, dagger, cannon, machine gun, butterfly knife, nunchucks, crossbow, scythe, AK-47, glock, bomb, Molotov cocktail, catapult, bow and arrow	hyacinth, daffodil, daisy, tulip, cosmo, pansy, petunia, lily, amaryllis, forsythia, hydrangea, sunflower, rose, bluebell, snowdrop, chrysanthemum, mum, poinsettia, crocus, baby's breath, wisteria, jasmine, peony, forget-me-not, violet	trumpet, saxophone, violin, viola, piccolo, flute, piano, keyboard, recorder, xylophone, drums, bongos, triangle, French horn, tuba, trombone, accordion, organ, lute, harp, bass, oboe, clarinet, cello, guitar	caterpillar, moth, dragonfly, butterfly, dung beetle, ant, wasp, hornet, yellow jacket, honeybee, pill bug, mite, flea, tick, stink bug, termite, weevil, cricket, grasshopper, praying mantis, ladybug, locust, aphid, cicada, roach	peace, love, kindness, compassion, justice, warmth, care, truth, empathy, humanity, cleanliness, family, tranquility, safety, stability, security, equality, respect, gentleness, creativity, independence, liberty, freedom, community, tolerance	war, destruction, violence, discrimination, hate, starvation, inequality, rape, incest, assault, torture, depression, harm, imperialism, racism, sexism, bigotry, homophobia, transphobia, ableism, chaos, poverty, classism, xenophobia, anti-intellectualism
en_US3	original	anonymous	1.0	Connecticut, USA	spear, sword, gun, armament, halberd, polearm, poleax, lance, cat-gutter, cannon, napoleons, demilune, ax, tank, dirk, knife, words, claymore, grenade, mine, trebuchet, catapult, AK-47, PP7, pistol	tulip, daisy, dandelion, aster, bluebell, apple tree, forget-me-not, goldenrod, roses, sea rose, red clover, clover, gingko, fleur-de-lis, lily, lady's slipper, elanor, simbelmyne, water lily, lotus, heather, thistle, lavender, forsythia, magnolia	ukulele, guitar, flute, pipes, bagpipes, piano, pianoforte, organ, trumpet, trombone, clarinet, oboe, sitar, keyboard, computer, drums, maraca, tambourine, bongos, djembas, vocal chords, french horn, horn, violin, okarina	Stinkbug, ant, praying mantis, dragonfly, Brown Marmorated Stinkbug, Boxelder Bug, Emerald Ashborer, caterpillar, moths, butterflies, waterbug, rolly-polly, pillbug, woodlouse, lice, fleas, stickbug, Junebug, dung beetle, beetle, scarab, darters, flies, gnats, midges	girlfriends, spring, music, love, peace, respite, poetry, sun, birds, nature, yellow, clothing, kindness, joy, wonder, exhilaration, warmth, overcoming, puppies, bed, sleep, food, friends, hiking, mountains	shit, distaste, hunger, war, famine, diarrhea, urine, hatred, suffering, miasma, car crash, death, fear, angst, anxiety, monomania, loneliness, sadness, depression, catatonia, privation, rancid, maggots, festering, putrescence
en_US4	original	anonymous	1.0	Palo Alto, CA, USA	gun, knife, spear, rifle, cannon, mace, lance, dagger, arrow, pistol, machine gun, warhammer, axe, scimitar, numchucks, slingshot, catapult, trebuchet, ak-47, kalashnikov, bomb, grenade, missile, rocket, molotov cocktail	lily, daisy, rose, tulip, daffodil, agapanthus, violet, pansy, nasturtium, chrysanthemum, bird of paradise, crocus, orchid, carnation, foxglove, lupin, narcissus, bougainvillea, sunflower, dandelion, poppy, gladiolus, hyacinth, lily of the valley, hibiscus	piano, violin, viola, cello, double bass, bass guitar, guitar, electric guitar, flute, oboe, clarinet, piccolo, french horn, trumpet, trombone, tuba, sousaphone, drums, cymbal, triangle, timpani, harp, bagpipe, lute, organ	ant, ladybug, worm, earthworm, roly poly, grasshopper, spider, fly, fruit fly, wasp, bee, hornet, firefly, bedbug, earwig, horsefly, yellowjacket, fire ant, black widow, tarantula, beetle, scarab, bug, cockroach, termite	ocean, sunshine, travel, light, smile, flowers, nature, sleep, love, cuddles, warmth, colors, music, chocolate, wine, laughter, gifts, games, jokes, fragrant, cozy, summer, vacation, activity, reading	war, death, fear, hatred, betrayal, lies, darkness, cheating, arguments, explosions, dictatorship, oppression, authoritarianism, selfishness, narcissism, hurtful, pain, blood, stabbing, wound, nightmares, loneliness, tears, crying, boredom
en_US5	original	anonymous	1.0	Chattahoochee, Florida, USA	bow and arrow, crossbow, knife, sword, machete, switch blade, cannon, air rifle, pistol, gun, trebuchet, grenade, bomb, musket, axe, steak knife, broken bottle, whip, night stick, taser, spear, brass knuckles, machine gun, revolver, hammer	daisy, rose, wisteria, honey suckle, violet, petunia, morning glory, iris, orchid, lily, tulip, magnolia, gardenia, foxglove, zinnia, azalea, queen anne's lace, black-eyed susan, sunflower, wild flower, chrysanthemum, hydrangea, poppy, forget-me-not, daffodil	guitar, ukele, piano, harmonica, harp, violin, bass, saxophone, flute, cello, banjo, lute, harpsichord, organ, tuba, french horn, trumpet, drums, oboe, cymbals, tambourine, fiddle, kazoo, washboard, the spoons	fire ant, sugar ant, bumble bee, hornet, wasp, black widow spider, gnat, fly, horsefly, tiger ant, cow ant, cockroach, palmetto bug, georgia thumper, banana spider, mayfly, butterfly, moth, brown recluse, carpenter bee, katydid, firefly, mosquito, cicada, beetle	chocolate, ice cream, hugs, kisses, sweet, considerate, thoughtful, warm, cozy, content, soul food, sunshine, beach, hammock, cool, fall, summer, nature, knitted, peaceful, cuddle, love, happiness, moonlight, fireplace	bugs, mosquitos, racism, hate, sickness, pain, drama, lies, gore, horror, teenagers, screaming, garbage, capitalism, greed, billionaires, alligators, rednecks, torture, waxing, sunburn, hangovers, nausea, pregnancy, traffic
